Date,Low
2024-06-02,3763.36
2024-06-03,3878.76
2024-06-04,3861.71
2024-06-05,3774.62
2024-06-06,3698.84
2024-06-09,3717.11
2024-06-10,3695.88
2024-06-13,3755.73
2024-06-16,3710.5
2024-06-17,3780.48
2024-06-18,3768.45
2024-06-19,3833.93
2024-06-20,3713.44
2024-06-23,3757.71
2024-06-24,3715.27
2024-06-25,3749.59
2024-06-26,3772.71
2024-06-27,3720.74
2024-06-30,3773.09
2024-07-01,3750.23
2024-07-02,3764.04
2024-07-03,3754.9
2024-07-04,3811.76
2024-07-07,3932.81
2024-07-08,3924.08
2024-07-09,3962.64
2024-07-10,3924.16
2024-07-11,4017.53
2024-07-14,3990.8
2024-07-15,3999.89
2024-07-16,4026.69
2024-07-17,4034.97
2024-07-18,3991.16
2024-07-21,3956.82
2024-07-22,3999.88
2024-07-23,4062.63
2024-07-24,4040.43
2024-07-25,4021.03
2024-07-28,3928.78
2024-07-29,3910.93
2024-07-30,3905.95
2024-07-31,3916.0
2024-08-01,3803.01
2024-08-04,3742.19
2024-08-05,3776.05
2024-08-06,3774.79
2024-08-07,3834.11
2024-08-08,3948.44
2024-08-11,3990.44
2024-08-12,3916.94
2024-08-14,4017.11
2024-08-15,4045.82
2024-08-18,4072.66
2024-08-19,4053.79
2024-08-20,4049.42
2024-08-21,4006.63
2024-08-22,4050.81
2024-08-25,4160.37
2024-08-26,4089.62
2024-08-27,4089.51
2024-08-28,4122.34
2024-08-29,4136.0
2024-09-01,4114.37
2024-09-02,4173.29
2024-09-03,4119.09
2024-09-04,4118.03
2024-09-05,4178.32
2024-09-08,4130.05
2024-09-09,4061.14
2024-09-10,4073.0
2024-09-11,4059.97
2024-09-12,4117.78
2024-09-15,4077.43
2024-09-16,4010.7
2024-09-17,3960.06
2024-09-18,4014.28
2024-09-19,3971.38
2024-09-22,4002.51
2024-09-23,4039.25
2024-09-24,4111.66
2024-09-25,4150.94
2024-09-26,4246.14
2024-09-29,4257.78
2024-09-30,4301.58
2024-10-01,4211.06
2024-10-06,4142.01
2024-10-07,4168.36
2024-10-08,4229.81
2024-10-09,4300.31
2024-10-10,4233.28
2024-10-13,4242.44
2024-10-14,4265.83
2024-10-15,4247.31
2024-10-20,4401.27
2024-10-21,4388.95
2024-10-22,4309.82
2024-10-27,4398.68
2024-10-28,4416.03
2024-10-29,4445.79
2024-10-30,4510.47
2024-10-31,4524.68
2024-11-03,4556.13
2024-11-04,4575.37
2024-11-05,4604.23
2024-11-06,4599.37
2024-11-07,4635.83
2024-11-10,4779.89
2024-11-11,4754.94
2024-11-12,4829.21
2024-11-13,4827.27
2024-11-14,4791.75
2024-11-17,4873.27
2024-11-18,4817.1
2024-11-19,4801.52
2024-11-20,4779.82
2024-11-21,4855.86
2024-11-24,4965.85
2024-11-25,4927.64
2024-11-26,5001.36
2024-11-27,4920.64
2024-11-28,4871.09
2024-12-01,4997.11
